iter	Passed	Remaining
535	29390	244772
536	29446	244733
537	29501	244677
538	29561	244667
539	29626	244691
540	29694	244749
541	29711	244383
542	29766	244325
543	29823	244286
544	29863	244111
545	29921	244084
546	29970	243978
547	30022	243906
548	30080	243880
549	30139	243855
550	30156	243494
551	30213	243460
552	30269	243418
553	30310	243251
554	30327	242892
555	30386	242871
556	30410	242578
557	30469	242552
558	30488	242221
559	30544	242173
560	30601	242139
561	30663	242145
562	30722	242125
563	30782	242111
564	30838	242071
565	30898	242056
566	30957	242039
567	31013	241995
568	31071	241965
569	31126	241915
570	31186	241903
571	31203	241552
572	31261	241527
573	31321	241512
574	31375	241456
575	31434	241434
576	31492	241407
577	31547	241352
578	31602	241306
579	31655	241234
580	31709	241181
581	31764	241125
582	31825	241120
583	31883	241087
584	31941	241059
585	31999	241031
586	32058	241014
587	32117	240992
588	32173	240943
589	32231	240920
590	32288	240881
591	32344	240838
592	32402	240808
593	32459	240768
594	32522	240778
595	32540	240448
596	32599	240424
597	32658	240405
598	32716	240376
599	32773	240341
600	32792	240023
601	32816	239742
602	32872	239702
603	32932	239684
604	32957	239421
605	32988	239195
606	33048	239182
607	33110	239176
608	33164	239121
609	33219	239074
610	33258	238905
611	33313	238858
612	33368	238807
613	33426	238775
614	33484	238747
615	33540	238702
616	33599	238684
617	33655	238636
618	33716	238626
619	33774	238601
620	33837	238608
621	33864	238356
622	33922	238325
623	33939	238012
624	33997	237984
625	34053	237941
626	34111	237913
627	34169	237878
628	34226	237846
629	34285	237824
630	34340	237772
631	34411	237831
632	34470	237808
633	34529	237785
634	34584	237734
635	34641	237694
636	34697	237652
637	34756	237628
638	34810	237574
639	34868	237543
640	34927	237517
641	34986	237491
642	35013	237256
643	35076	237259
644	35143	237285
645	35209	237309
646	35245	237127
647	35305	237114
648	35366	237100
649	35426	237085
650	35487	237071
651	35547	237054
652	35606	237030
653	35663	236993
654	35722	236965
655	35780	236939
656	35847	236967
657	35907	236943
658	35964	236905
659	36022	236876
660	36080	236845
661	36138	236808
662	36193	236759
663	36250	236723
664	36309	236692
665	36367	236661
666	36412	236544
667	36465	236482
668	36522	236440
669	36579	236399
670	36638	236374
671	36700	236367
672	36718	236080
673	36773	236029
674	36834	236014
675	36906	236070
676	36970	236074
677	37013	235949
678	37074	235934
679	37135	235919
680	37196	235904
681	37255	235878
682	37313	235848
683	37373	235822
684	37432	235797
685	37495	235793
686	37553	235761
687	37614	235748
688	37673	235717
689	37734	235701
690	37796	235695
691	37814	235408
692	37874	235387
693	37935	235372
694	37997	235367
695	38056	235339
696	38090	235157
697	38149	235129
698	38207	235093
699	38252	234981
700	38311	234953
701	38371	234930
702	38389	234651
703	38449	234628
704	38508	234598
705	38570	234594
706	38619	234504
707	38683	234507
708	38753	234540
709	38799	234437
710	38864	234441
711	38923	234414
712	38986	234411
713	39004	234136
714	39063	234107
715	39129	234123
716	39184	234070
717	39241	234028
718	39302	234012
719	39374	234056
720	39414	233916
721	39436	233671
722	39494	233635
723	39526	233444
724	39556	233249
725	39608	233177
726	39663	233125
727	39726	233120
728	39786	233095
729	39802	232816
730	39858	232772
731	39917	232741
732	39962	232635
733	40020	232599
734	40079	232570
735	40143	232570
736	40202	232543
737	40260	232507
738	40319	232477
739	40378	232449
740	40437	232417
741	40492	232368
742	40517	232141
743	40573	232096
744	40631	232062
745	40694	232058
746	40719	231836
747	40772	231773
748	40830	231733
749	40890	231712
750	40924	231539
751	40980	231495
752	41038	231461
753	41099	231445
754	41157	231407
755	41218	231390
756	41272	231332
757	41327	231283
758	41384	231241
759	41441	231201
